Municipio,Lavoura permanente,Ano,Valor
3500907,Limão,2014,-
3500907,Maçã,1995,-
3500907,Maçã,2014,-
3500907,Mamão,1995,-
3500907,Mamão,2014,-
3500907,Manga,1995,139
3500907,Manga,2014,-
3500907,Maracujá,1995,-
3500907,Maracujá,2014,-
3500907,Marmelo,1995,-
3500907,Marmelo,2014,-
3500907,Noz (fruto seco),1995,-
3500907,Noz (fruto seco),2014,-
3500907,Palmito,1995,-
3500907,Palmito,2014,-
3500907,Pera,1995,-
3500907,Pera,2014,-
3500907,Pêssego,1995,-
3500907,Pêssego,2014,-
3500907,Pimenta-do-reino,1995,-
3500907,Pimenta-do-reino,2014,-
3500907,Sisal ou agave (fibra),1995,-
3500907,Sisal ou agave (fibra),2014,-
3500907,Tangerina,1995,-
3500907,Tangerina,2014,-
3500907,Tungue (fruto seco),1995,-
3500907,Tungue (fruto seco),2014,-
3500907,Urucum (semente),1995,-
3500907,Urucum (semente),2014,-
3500907,Uva,1995,-
3500907,Uva,2014,-
3501004,Abacate,1995,46
3501004,Abacate,2014,5481
3501004,Algodão arbóreo (em caroço),1995,-
3501004,Algodão arbóreo (em caroço),2014,-
3501004,Azeitona,1995,-
3501004,Azeitona,2014,-
3501004,Banana (cacho),1995,-
3501004,Banana (cacho),2014,-
3501004,Borracha (látex coagulado),1995,-
3501004,Borracha (látex coagulado),2014,-
3501004,Cacau (em amêndoa),1995,-
3501004,Cacau (em amêndoa),2014,-
3501004,Café (em grão) Total,1995,16280
3501004,Café (em grão) Total,2014,84173
3501004,Café (em grão) Arábica,1995,-
3501004,Café (em grão) Arábica,2014,84173
3501004,Café (em grão) Canephora,1995,-
3501004,Café (em grão) Canephora,2014,-
3501004,Caqui,1995,-
3501004,Caqui,2014,-
3501004,Castanha de caju,1995,-
3501004,Castanha de caju,2014,-
3501004,Chá-da-índia (folha verde),1995,-
3501004,Chá-da-índia (folha verde),2014,-
3501004,Coco-da-baía,1995,-
3501004,Coco-da-baía,2014,-
3501004,Dendê (cacho de coco),1995,-
3501004,Dendê (cacho de coco),2014,-
3501004,Erva-mate (folha verde),1995,-
3501004,Erva-mate (folha verde),2014,-
3501004,Figo,1995,-
3501004,Figo,2014,-
3501004,Goiaba,1995,-
3501004,Goiaba,2014,-
3501004,Guaraná (semente),1995,-
