Município,Ano,Area Colhida
3503703,2006,591
3503703,2007,576
3503703,2008,379
3503703,2009,344
3503703,2010,475
3503703,2011,470
3503703,2012,295
3503703,2013,293
3503703,2014,251
3503802,1990,13357
3503802,1991,19107
3503802,1992,18587
3503802,1993,7202
3503802,1994,6625
3503802,1995,5087
3503802,1996,7287
3503802,1997,7010
3503802,1998,5876
3503802,1999,7154
3503802,2000,4916
3503802,2001,5853
3503802,2002,5028
3503802,2003,4166
3503802,2004,4988
3503802,2005,4895
3503802,2006,4895
3503802,2007,4030
3503802,2008,3977
3503802,2009,3977
3503802,2010,3977
3503802,2011,4790
3503802,2012,4062
3503802,2013,4062
3503802,2014,3983
3503901,1990,20
3503901,1991,20
3503901,1992,20
3503901,1993,18
3503901,1994,-
3503901,1995,-
3503901,1996,2
3503901,1997,4
3503901,1998,9
3503901,1999,5
3503901,2000,9
3503901,2001,9
3503901,2002,9
3503901,2003,9
3503901,2004,9
3503901,2005,9
3503901,2006,14
3503901,2007,14
3503901,2008,14
3503901,2009,14
3503901,2010,12
3503901,2011,12
3503901,2012,-
3503901,2013,-
3503901,2014,-
3503950,1990,-
3503950,1991,-
3503950,1992,-
3503950,1993,655
3503950,1994,832
3503950,1995,901
3503950,1996,921
3503950,1997,753
3503950,1998,819
3503950,1999,907
3503950,2000,972
3503950,2001,946
3503950,2002,1242
3503950,2003,1264
3503950,2004,1109
3503950,2005,1055
3503950,2006,1056
3503950,2007,778
3503950,2008,970
3503950,2009,518
3503950,2010,519
3503950,2011,735
3503950,2012,744
3503950,2013,1266
3503950,2014,1216
3504008,1990,241
3504008,1991,241
3504008,1992,236
3504008,1993,-
3504008,1994,38
3504008,1995,192
3504008,1996,59
3504008,1997,41
3504008,1998,33
3504008,1999,39
3504008,2000,206
3504008,2001,213
3504008,2002,313
3504008,2003,363
3504008,2004,183
3504008,2005,123
3504008,2006,141
3504008,2007,121
3504008,2008,303
3504008,2009,298
3504008,2010,205
3504008,2011,305
3504008,2012,244
3504008,2013,105
3504008,2014,55
3504107,1990,833
3504107,1991,824
3504107,1992,472
3504107,1993,830
3504107,1994,713
3504107,1995,767
3504107,1996,770
3504107,1997,778
3504107,1998,781
3504107,1999,770
3504107,2000,614
3504107,2001,911
3504107,2002,1059
3504107,2003,1007
3504107,2004,937
3504107,2005,787
3504107,2006,687
3504107,2007,739
3504107,2008,802
3504107,2009,799
3504107,2010,778
3504107,2011,432
3504107,2012,405
3504107,2013,413
3504107,2014,401
3504206,1990,5650
3504206,1991,1190
3504206,1992,1260
3504206,1993,1143
3504206,1994,976
3504206,1995,827
3504206,1996,794
3504206,1997,907
3504206,1998,772
3504206,1999,897
3504206,2000,681
3504206,2001,996
3504206,2002,877
3504206,2003,1021
3504206,2004,949
3504206,2005,613
3504206,2006,315
3504206,2007,957
3504206,2008,928
3504206,2009,858
3504206,2010,379
3504206,2011,455
3504206,2012,404
3504206,2013,466
3504206,2014,438
3504305,1990,2092
3504305,1991,2165
3504305,1992,1513
3504305,1993,1236
3504305,1994,1066
3504305,1995,1117
3504305,1996,975
3504305,1997,1006
3504305,1998,892
3504305,1999,895
3504305,2000,820
3504305,2001,630
3504305,2002,574
3504305,2003,791
3504305,2004,702
3504305,2005,705
3504305,2006,705
3504305,2007,704
3504305,2008,661
3504305,2009,661
3504305,2010,610
3504305,2011,2052
3504305,2012,2058
3504305,2013,2055
3504305,2014,2382
3504404,1990,85
3504404,1991,86
3504404,1992,417
3504404,1993,46
3504404,1994,360
3504404,1995,236
3504404,1996,108
3504404,1997,216
3504404,1998,218
3504404,1999,245
3504404,2000,250
3504404,2001,152
3504404,2002,161
3504404,2003,181
3504404,2004,170
3504404,2005,171
3504404,2006,171
3504404,2007,171
3504404,2008,173
3504404,2009,145
3504404,2010,111
3504404,2011,208
3504404,2012,221
3504404,2013,209
3504404,2014,162
3504503,1990,3057
3504503,1991,3057
3504503,1992,528
3504503,1993,1447
3504503,1994,1370
3504503,1995,1218
3504503,1996,2852
3504503,1997,2780
3504503,1998,1960
3504503,1999,2005
3504503,2000,1553
3504503,2001,1654
3504503,2002,1941
3504503,2003,5453
3504503,2004,4385
3504503,2005,2641
3504503,2006,2839
3504503,2007,1158
3504503,2008,2768
3504503,2009,3170
3504503,2010,4209
3504503,2011,4002
3504503,2012,4002
3504503,2013,4002
3504503,2014,4002
3504602,1990,2569
3504602,1991,2592
3504602,1992,2602
3504602,1993,2382
3504602,1994,2132
3504602,1995,1450
3504602,1996,1063
3504602,1997,1015
3504602,1998,837
3504602,1999,745
3504602,2000,636
3504602,2001,763
3504602,2002,763
3504602,2003,820
3504602,2004,734
3504602,2005,823
3504602,2006,788
3504602,2007,753
3504602,2008,638
3504602,2009,613
3504602,2010,645
3504602,2011,637
3504602,2012,669
3504602,2013,452
3504602,2014,379
3504701,1990,441
3504701,1991,331
3504701,1992,272
3504701,1993,206
3504701,1994,134
3504701,1995,150
3504701,1996,190
3504701,1997,173
3504701,1998,173
3504701,1999,188
3504701,2000,296
3504701,2001,214
3504701,2002,214
3504701,2003,207
3504701,2004,169
3504701,2005,196
3504701,2006,218
3504701,2007,223
3504701,2008,217
3504701,2009,211
3504701,2010,233
3504701,2011,588
3504701,2012,577
3504701,2013,592
3504701,2014,371
3504800,1990,3995
3504800,1991,3114
3504800,1992,2849
3504800,1993,2310
3504800,1994,2291
3504800,1995,2165
3504800,1996,2248
3504800,1997,2026
3504800,1998,3102
3504800,1999,3106
3504800,2000,2262
3504800,2001,2687
3504800,2002,2282
3504800,2003,2381
3504800,2004,2545
3504800,2005,2653
3504800,2006,2428
3504800,2007,2269
3504800,2008,2523
3504800,2009,2551
3504800,2010,2602
3504800,2011,2673
3504800,2012,2826
3504800,2013,2556
3504800,2014,2270
3504909,1990,159
3504909,1991,250
3504909,1992,230
3504909,1993,78
3504909,1994,11
3504909,1995,54
3504909,1996,9
3504909,1997,54
3504909,1998,51
3504909,1999,54
3504909,2000,45
3504909,2001,47
3504909,2002,17
3504909,2003,11
3504909,2004,10
3504909,2005,8
3504909,2006,8
3504909,2007,11
3504909,2008,8
3504909,2009,8
3504909,2010,8
3504909,2011,11
3504909,2012,11
3504909,2013,11
3504909,2014,11
3505005,1990,345
3505005,1991,345
3505005,1992,345
3505005,1993,287
3505005,1994,131
3505005,1995,93
3505005,1996,10
3505005,1997,122
3505005,1998,122
3505005,1999,122
3505005,2000,92
3505005,2001,124
3505005,2002,123
3505005,2003,124
3505005,2004,116
3505005,2005,124
3505005,2006,124
3505005,2007,174
3505005,2008,151
3505005,2009,125
3505005,2010,65
3505005,2011,80
3505005,2012,22
3505005,2013,22
3505005,2014,23
3505104,1990,75
3505104,1991,75
3505104,1992,51
3505104,1993,43
3505104,1994,39
3505104,1995,33
3505104,1996,8
3505104,1997,33
3505104,1998,14
3505104,1999,14
3505104,2000,8
3505104,2001,16
3505104,2002,20
3505104,2003,20
3505104,2004,20
3505104,2005,20
3505104,2006,20
3505104,2007,20
3505104,2008,20
3505104,2009,8
3505104,2010,8
3505104,2011,-
3505104,2012,-
3505104,2013,-
3505104,2014,-
3505203,1990,4860
3505203,1991,4172
3505203,1992,6901
3505203,1993,6366
3505203,1994,6183
3505203,1995,5567
3505203,1996,6647
3505203,1997,6780
3505203,1998,6858
3505203,1999,6758
3505203,2000,5418
3505203,2001,4474
3505203,2002,4419
3505203,2003,5262
3505203,2004,3464
3505203,2005,3362
3505203,2006,3353
3505203,2007,4899
3505203,2008,4959
3505203,2009,4339
3505203,2010,4350
3505203,2011,3890
3505203,2012,3840
3505203,2013,2905
3505203,2014,2600
3505302,1990,29
3505302,1991,41
3505302,1992,41
3505302,1993,39
3505302,1994,30
3505302,1995,30
3505302,1996,30
3505302,1997,30
3505302,1998,30
3505302,1999,30
3505302,2000,-
3505302,2001,138
3505302,2002,-
3505302,2003,-
3505302,2004,-
3505302,2005,-
3505302,2006,-
3505302,2007,-
3505302,2008,-
3505302,2009,-
3505302,2010,-
3505302,2011,-
3505302,2012,-
3505302,2013,-
3505302,2014,-
3505351,1990,-
3505351,1991,-
3505351,1992,-
3505351,1993,-
3505351,1994,-
3505351,1995,-
3505351,1996,-
3505351,1997,-
3505351,1998,23
